股票代號,股票名稱,收盤價,月平均價
"030280","國巨富邦26購06","1.13","1.31"
"030281","華碩富邦26購01","1.19","1.40"
"030282","大立光富邦29購01","0.70","0.69"
"030283","玉晶光富邦25購01","0.93","1.14"
"030284","群創富邦26購01","","0.58"
"030285","聯合再富邦27購01","0.60","0.69"
"030286","天鈺富邦26購01","0.53","0.59"
"030287","力智富邦27購02","","0.87"
"030288","T50反1群益29購02","0.50","0.50"
"030289","元石油群益25購02","","1.51"
"03028P","臺股指富邦23售04","1.61","1.52"
"030290","道瓊反群益29購04","","0.73"
"030291","東鋼群益25購01","1.37","1.60"
"030292","大成鋼群益25購02","1.97","2.73"
"030293","允強群益25購01","0.95","1.13"
"030294","金像電群益25購04","1.74","1.98"
"030295","友達群益25購03","","0.80"
"030296","怡利電群益29購02","2.14","2.69"
"030297","宏達電群益29購01","4.55","5.56"
"030298","長榮群益25購14","6.60","6.25"
"030299","大立光群益25購11","","2.03"
"03029P","元黃金群益23售01","0.41","0.45"
"03029Q","恒指麥證1C售03","","0.24"
"03029X","元展26","26.80","26.32"
"030300","正文群益27購01","","1.76"
"030301","嘉聯益群益25購02","0.54","0.92"
"030302","愛普群益28購02","","2.16"
"030303","世紀鋼群益25購03","0.91","1.17"
"030304","元石油國票25購03","","1.40"
"030305","元石油國票26購02","0.97","1.08"
"030306","美指2X國票28購01","0.53","0.56"
"030307","和大國票25購02","0.92","1.12"
"030308","裕隆國票26購02","4.97","5.61"
"030309","台積電國票26購05","0.86","1.05"
"03030P","滬深2X群益23售09","","1.72"
"030310","台亞國票26購01","","1.64"
"030311","興富發國票26購01","","1.93"
"030312","三商壽國票25購01","0.82","0.95"
"030313","大立光國票26購03","","2.19"
"030314","智原國票26購02","","2.48"
"030315","總太國票26購01","","0.82"
"030316","嘉基國票27購01","","1.22"
"030317","力智國票27購01","1.33","1.77"
"030318","裕隆麥證25購03","4.30","4.94"
"030319","世芯麥證25購01","2.97","3.46"
"03031Q","恒指麥證23售02","0.78","0.91"
"030320","祥碩麥證25購01","1.49","1.75"
"030321","聯電中信27購01","","0.79"
"030322","潤泰全中信25購01","1.30","1.52"
"030323","智原中信26購01","1.14","1.36"
"030324","世芯中信27購01","1.54","1.66"
"030325","世芯國泰27購01","0.92","1.00"
"030326","世芯統一27購04","0.95","1.05"
"030327","世芯統一27購05","","1.53"
"030328","世芯統一28購01","0.93","0.97"
"030329","國巨兆豐25購02","1.11","1.31"
"03032Q","恒指麥證26售02","","1.84"
"030330","智原兆豐27購01","0.98","1.21"
"030331","嘉澤兆豐25購01","1.09","1.34"
"030332","日月光兆豐27購01","1.15","1.36"
"030333","力智兆豐26購02","","1.62"
"030334","智原元富27購02","1.10","1.20"
"030335","華擎元富28購01","1.62","1.46"
"030336","世芯元富25購04","1.58","1.78"
"030337","世芯元富28購01","1.41","1.53"
"030338","新唐元富28購01","","1.93"
"030339","裕隆康和25購01","2.00","2.22"
"03033P","宏達電群益23售07","","0.86"
"03033Q","恒指麥證24售02","","0.47"
"030340","聯電康和25購05","0.54","0.73"
"030341","潤泰全康和25購01","1.10","1.37"
"030342","大立光康和25購03","0.59","0.65"
"030343","世芯康和25購02","","1.45"
"030344","南電康和25購05","0.74","1.23"
"030345","光寶科永豐25購01","0.77","0.85"
"030346","興富發永豐25購01","0.57","0.84"
"030347","世芯永豐26購01","1.50","1.69"
"030348","世芯永豐28購01","1.76","1.94"
"030349","拓凱永豐26購01","1.39","1.48"
"03034P","世芯群益23售04","1.36","1.45"
"030350","S&P反1富邦25購01","0.86","0.75"
"030351","裕隆富邦26購01","1.67","1.79"
"030352","鴻海富邦26購02","","0.74"
"030353","瑞昱富邦25購01","0.32","0.43"
"030354","大立光富邦29購02","0.93","0.97"
"030355","日月光富邦26購03","0.69","0.88"
"030357","道瓊反凱基29購03","0.48","0.48"
"030358","遠東新凱基25購01","1.23","1.95"
"030359","三陽凱基25購02","","1.66"
"03035P","威鋒電群益23售01","","0.86"
"03035X","元展32","13.40","14.34"
"030360","鴻海凱基25購07","0.92","1.05"
"030361","國巨凱基25購02","","1.97"
"030362","佳世達凱基25購01","0.63","0.81"
"030363","萬海凱基25購08","2.37","1.98"
"030364","慧洋凱基25購03","2.25","1.90"
"030365","美食凱基26購01","","3.13"
"030366","王品凱基26購01","1.25","1.29"
"030367","智原凱基26購01","1.20","1.47"
"030368","群創凱基25購03","0.69","1.02"
"030369","世芯凱基25購01","1.41","1.53"
"03036P","儒鴻麥證23售01","0.86","0.87"
"030370","世芯凱基26購04","","1.71"
"030371","貿聯凱基25購02","1.55","2.01"
"030372","祥碩凱基26購03","1.49","1.75"
"030373","威鋒電凱基25購02","","2.53"
"030374","南電凱基26購02","4.08","6.75"
"030375","臺股指凱基29購15","2.09","2.51"
"030376","臺股指凱基29購16","","2.52"
"030377","A50正2群益25購02","2.14","2.10"
"030378","道瓊反群益29購05","0.99","0.86"
"030379","亞泥群益25購01","1.25","1.36"
